Open.Year,Show.Name,Show.Type,Show.Theatre
2013,Beautiful,Musical,Stephen Sondheim Theatre
1994,Beauty And The Beast,Musical,Palace Theatre
1999,Beauty And The Beast,Musical,Lunt-Fontanne Theatre
2001,Bells Are Ringing,Musical,Plymouth Theatre
2011,Bengal Tiger At The Bagdhad Zoo,Play,Richard Rodgers Theatre
2000,Betrayal,Play,American Airlines Theatre
2013,Betrayal '13,Play,Ethel Barrymore Theatre
1996,Big,Musical,Shubert Theatre
2013,Big Fish,Musical,Neil Simon Theatre
2003,Big River '03,Musical,American Airlines Theatre
2003,Bill Maher: Victory Begins At Home,Special,Virginia Theatre
2008,Billy Elliot: The Musical,Musical,Imperial Theatre
2016,Blackbird,Play,Belasco Theatre
2001,Blast!,Musical,Broadway Theatre
2009,Blithe Spirit '09,Play,Shubert Theatre
2010,Bloody Bloody Andrew Jackson,Musical,Jacobs Theatre
2003,Bobbi Boland,Play,Cort Theatre
2008,Boeing-Boeing,Play,Longacre Theatre
2004,Bombay Dreams,Musical,Broadway Theatre
2011,Bonnie And Clyde,Musical,Schoenfeld Theatre
2011,Born Yesterday '11,Play,Cort Theatre
2013,Breakfast At Tiffany'S,Play,Cort Theatre
2006,Bridge And Tunnel,Play,Helen Hayes Theatre
2010,Brief Encounter,Play,Studio 54 Theatre
2016,Bright Star,Musical,Cort Theatre
2009,Brighton Beach Memoirs '09,Play,Nederlander Theatre
1996,"Bring In Da Noise, Bring In Da Funk",Musical,Ambassador Theatre
2012,Bring It On The Musical,Musical,St. James Theatre
1994,Broken Glass,Play,Booth Theatre
2014,Bronx Bombers,Play,Circle In The Square Theatre
2004,Brooklyn,Musical,Plymouth Theatre
2005,Brooklyn,Musical,Schoenfeld Theatre
2005,Brooklyn Boy,Play,Biltmore Theatre
2014,Bullets Over Broadway,Musical,St. James Theatre
1996,Buried Child,Play,Brooks Atkinson Theatre
2009,Burn The Floor,Musical,Longacre Theatre
1996,Bus Stop,Play,Circle In The Square Theatre
2006,Butley,Play,Booth Theatre
1995,Buttons On Broadway,Special,Ambassador Theatre
2001,By Jeeves,Musical,Helen Hayes Theatre
2009,Bye Bye Birdie,Musical,Henry Miller (Rndabt) Theatre
2014,Cabaret '14,Musical,Studio 54 Theatre
