Open.Year,Show.Name,Show.Type,Show.Theatre
2011,Priscilla Queen Of The Desert,Musical,Palace Theatre
2002,Private Lives 02,Play,Richard Rodgers Theatre
2011,Private Lives '11,Play,Music Box Theatre
2010,"Promises, Promises",Musical,Broadway Theatre
2000,Proof,Play,Walter Kerr Theatre
1997,Proposals,Play,Broadhurst Theatre
2002,Prune Danish,Play,Royale Theatre
2004,Prymate,Play,Longacre Theatre
1999,Putting It Together,Musical,Ethel Barrymore Theatre
2007,Pygmalion 07,Play,American Airlines Theatre
2001,Qed,Play,Vivian Beaumont Theatre
2006,Rabbit Hole,Play,Biltmore Theatre
2009,Race,Play,Ethel Barrymore Theatre
2007,Radio Golf,Play,Cort Theatre
1997,Ragtime,Musical,Ford Center (Livent) Theatre
2009,Ragtime '09,Musical,Neil Simon Theatre
2010,Rain: A Tribute To The Beatles On Broadway,Musical,Neil Simon Theatre
2011,Rain: A Tribute To The Beatles On Broadway,Musical,Brooks Atkinson Theatre
2009,Reasons To Be Pretty,Play,Lyceum Theatre
2004,Reckless,Play,Biltmore Theatre
2010,Red,Play,Golden Theatre
2011,Relatively Speaking,Play,Brooks Atkinson Theatre
1996,Rent,Musical,Nederlander Theatre
2006,Ring Of Fire,Musical,Ethel Barrymore Theatre
1999,Ring Round The Moon,Play,Belasco Theatre
2000,Riverdance,Musical,Gershwin Theatre
2007,Rock 'N' Roll,Play,Jacobs Theatre
2009,Rock Of Ages,Musical,Brooks Atkinson Theatre
2011,Rock Of Ages,Musical,Helen Hayes Theatre
2014,Rocky,Musical,Winter Garden Theatre
2013,Romeo And Juliet,Play,Richard Rodgers Theatre
2000,Rose,Play,Lyceum Theatre
2012,Running On Empty,Special,Richard Rodgers Theatre
1995,Sacrilege,Play,Belasco Theatre
2003,Salome,Play,Ethel Barrymore Theatre
1999,Saturday Night Fever,Musical,Minskoff Theatre
2002,"Say Goodnight, Gracie",Play,Helen Hayes Theatre
2012,Scandalous,Musical,Neil Simon Theatre
1995,School For Scandal,Play,Lyceum Theatre
2015,School Of Rock,Musical,Winter Garden Theatre
2005,Seascape,Play,Booth Theatre
2011,Seminar,Play,Golden Theatre
2000,Seussical,Musical,Richard Rodgers Theatre
1996,Seven Guitars,Play,Walter Kerr Theatre
1996,Sex And Longing,Play,Cort Theatre
2001,Sexaholix '01,Play,Royale Theatre
2003,Sexaholix '03,Play,Broadway Theatre
2012,Shatner'S World: We Just Live In It,Special,Music Box Theatre
2016,She Loves Me 2016,Musical,Studio 54 Theatre
2006,Shining City,Play,Biltmore Theatre
1994,Show Boat,Musical,Gershwin Theatre
2008,Shrek The Musical,Musical,Broadway Theatre
2016,Shuffle Along,Musical,Music Box Theatre
1998,Side Man,Play,Criterion Theatre
1998,Side Man,Play,Golden Theatre
1997,Side Show,Musical,Richard Rodgers Theatre
2014,Side Show 2014,Musical,St. James Theatre
2004,Sight Unseen,Play,Biltmore Theatre
2011,Sister Act,Musical,Broadway Theatre
2003,Six Dance Lessons In Six Weeks,Play,Belasco Theatre
2004,Sixteen Wounded,Play,Walter Kerr Theatre
1996,Skylight,Play,Royale Theatre
2015,Skylight 2015,Play,Golden Theatre
2008,Slava'S Snowshow,Special,Helen Hayes Theatre
2004,Sly Fox,Play,Ethel Barrymore Theatre
1995,Smokey Joe'S Cafe,Musical,Virginia Theatre
2015,Something Rotten!,Musical,St. James Theatre
2010,Sondheim On Sondheim,Musical,Studio 54 Theatre
2013,Soul Doctor,Musical,Circle In The Square Theatre
2009,Soul Of Shaolin,Special,Marquis Theatre
2008,South Pacific,Musical,Vivian Beaumont Theatre
2005,Souvenir,Play,Lyceum Theatre
2008,Speed The Plow '08,Play,Ethel Barrymore Theatre
2010,Spider-Man Turn Off The Dark,Musical,Foxwoods Theatre
2006,Spring Awakening,Musical,Eugene O'Neill Theatre
2015,Spring Awakening 2015,Musical,Brooks Atkinson Theatre
2000,Squonk,Musical,Helen Hayes Theatre
1997,Stanley,Play,Circle In The Square Theatre
1996,State Fair,Musical,Music Box Theatre
2005,Steel Magnolias,Play,Lyceum Theatre
1997,Steel Pier,Musical,Richard Rodgers Theatre
2011,Stick Fly,Play,Cort Theatre
2001,Stones In His Pockets,Play,Golden Theatre
1997,Street Corner Symphony,Musical,Brooks Atkinson Theatre
1996,Summer And Smoke,Play,Criterion Theatre
2008,Sunday In The Park With George '08,Musical,Studio 54 Theatre
1994,Sunset Boulevard,Musical,Minskoff Theatre
2009,Superior Donuts,Play,Music Box Theatre
1998,Swan Lake,Musical,Neil Simon Theatre
2005,Sweeney Todd 05,Musical,Eugene O'Neill Theatre
2005,Sweet Charity 05,Musical,Al Hirschfeld Theatre
2002,Sweet Smell Of Success,Musical,Martin Beck Theatre
1999,Swing!,Musical,St. James Theatre
2015,Sylvia,Play,Cort Theatre
2003,Taboo,Musical,Plymouth Theatre
2003,Take Me Out,Play,Walter Kerr Theatre
1996,Taking Sides,Play,Brooks Atkinson Theatre
2007,Talk Radio,Play,Longacre Theatre
2000,Taller Than A Dwarf,Play,Longacre Theatre
1999,Tango Argentino '99,Musical,Gershwin Theatre
2002,Tartuffe 03,Play,American Airlines Theatre
1996,Tartuffe 96,Play,Circle In The Square Theatre
2006,Tarzan,Musical,Richard Rodgers Theatre
2011,That Championship Season,Play,Jacobs Theatre
2005,The 25Th Annual Putnam County Spelling Bee,Musical,Circle In The Square Theatre
2008,The 39 Steps,Play,American Airlines Theatre
2008,The 39 Steps,Play,Cort Theatre
2009,The 39 Steps,Play,Helen Hayes Theatre
2010,The Addams Family,Musical,Lunt-Fontanne Theatre
2001,The Adventures Of Tom Sawyer,Musical,Minskoff Theatre
2009,The American Plan,Play,Friedman Theatre
2012,The Anarchist,Play,Golden Theatre
2006,The Apple Tree,Musical,Studio 54 Theatre
2013,The Assembled Parties,Play,Friedman Theatre
2015,The Audience,Play,Schoenfeld Theatre
1998,The Beauty Queen Of Leenane,Play,Walter Kerr Theatre
2013,The Big Knife,Play,American Airlines Theatre
2005,The Blonde In The Thunderbird,Play,Brooks Atkinson Theatre
1998,The Blue Room,Play,Cort Theatre
2011,The Book Of Mormon,Musical,Eugene O'Neill Theatre
2003,The Boy From Oz,Musical,Imperial Theatre
2002,The Boys From Syracuse,Musical,American Airlines Theatre
2014,The Bridges Of Madison County,Musical,Schoenfeld Theatre
2006,The Caine Mutiny Court-Martial,Play,Schoenfeld Theatre
1997,The Capeman,Musical,Marquis Theatre
2003,The Caretaker 03,Play,American Airlines Theatre
1998,The Chairs,Play,Golden Theatre
1997,The Cherry Orchard,Play,Martin Beck Theatre
1999,The Civil War,Musical,St. James Theatre
2006,The Coast Of Utopia,Play,Vivian Beaumont Theatre
2005,The Color Purple,Musical,Broadway Theatre
2015,The Color Purple 2015,Musical,Jacobs Theatre
2012,The Columnist,Play,Friedman Theatre
2005,The Constant Wife,Play,American Airlines Theatre
2008,The Country Girl,Play,Jacobs Theatre
2014,The Country House,Play,Friedman Theatre
2014,The Cripple Of Inishmaan,Play,Cort Theatre
2002,The Crucible 02,Play,Virginia Theatre
2016,The Crucible 2016,Play,Walter Kerr Theatre
2014,The Curious Incident Of The Dog In The Night-Time,Play,Ethel Barrymore Theatre
1998,The Deep Blue Sea,Play,Criterion Theatre
1997,The Diary Of Anne Frank,Play,Music Box Theatre
2000,The Dinner Party,Play,Music Box Theatre
2006,The Drowsy Chaperone,Musical,Marquis Theatre
2002,The Elephant Man,Play,Royale Theatre
2014,The Elephant Man 2014,Play,Booth Theatre
2007,The Farnsworth Invention,Play,Music Box Theatre
2016,The Father 2016,Play,Friedman Theatre
2004,The Frogs,Musical,Vivian Beaumont Theatre
2000,The Full Monty,Musical,Eugene O'Neill Theatre
2001,The Gathering,Play,Cort Theatre
1999,The Gershwins' Fascinating Rhythm,Musical,Longacre Theatre
1997,The Gin Game,Play,Lyceum Theatre
2015,The Gin Game 2015,Play,Golden Theatre
2005,The Glass Menagerie 05,Play,Ethel Barrymore Theatre
2013,The Glass Menagerie '13,Play,Booth Theatre
2002,"The Goat, Or Who Is Sylvia?",Play,Golden Theatre
2004,The Good Body,Play,Booth Theatre
2002,The Graduate,Play,Plymouth Theatre
2000,The Green Bird,Musical,Cort Theatre
2015,The Heidi Chronicles 2015,Play,Music Box Theatre
2012,The Heiress '12,Play,Walter Kerr Theatre
1998,The Herbal Bed,Play,Eugene O'Neill Theatre
2006,The History Boys,Play,Broadhurst Theatre
2007,The Homecoming 07,Play,Cort Theatre
2011,The House Of Blue Leaves '11,Play,Walter Kerr Theatre
2016,The Humans,Play,Helen Hayes Theatre
2016,The Humans,Play,Schoenfeld Theatre
1999,The Iceman Cometh 99,Play,Brooks Atkinson Theatre
2015,The Illusionists - Live On Broadway,Special,Neil Simon Theatre
2014,The Illusionists - Witness The Impossible,Special,Marquis Theatre
2010,The Importance Of Being Earnest,Play,American Airlines Theatre
2001,The Invention Of Love,Play,Lyceum Theatre
1998,The Judas Kiss,Play,Broadhurst Theatre
2015,The King And I 2015,Musical,Vivian Beaumont Theatre
1996,The King And I 96,Musical,Neil Simon Theatre
1997,The Last Night Of Ballyhoo,Play,Helen Hayes Theatre
2014,The Last Ship,Musical,Neil Simon Theatre
2006,The Lieutenant Of Inishmore,Play,Lyceum Theatre
1997,The Life,Musical,Ethel Barrymore Theatre
2005,The Light In The Piazza,Musical,Vivian Beaumont Theatre
1999,The Lion In Winter,Play,Criterion Theatre
1997,The Lion King,Musical,New Amsterdam Theatre
2006,The Lion King,Musical,Minskoff Theatre
2006,The Little Dog Laughed,Play,Cort Theatre
1997,The Little Foxes,Play,Vivian Beaumont Theatre
2007,The Little Mermaid,Musical,Lunt-Fontanne Theatre
1999,The Lonesome West,Play,Lyceum Theatre
2003,The Look Of Love,Musical,Brooks Atkinson Theatre
2012,The Lyons,Play,Cort Theatre
2000,The Man Who Came To Dinner,Play,American Airlines Theatre
2002,The Man Who Had All The Luck,Play,American Airlines Theatre
2010,The Merchant Of Venice '10,Play,Broadhurst Theatre
2010,The Miracle Worker,Play,Circle In The Square Theatre
2011,The Motherf**Ker With The Hat,Play,Schoenfeld Theatre
2011,The Mountaintop,Play,Jacobs Theatre
2000,The Music Man,Musical,Neil Simon Theatre
2002,The Mystery Of Charles Dickens,Play,Belasco Theatre
2012,The Mystery Of Edwin Drood '12,Musical,Studio 54 Theatre
2013,The Nance,Play,Lyceum Theatre
2011,The Normal Heart,Play,Golden Theatre
2009,The Norman Conquests,Play,Circle In The Square Theatre
2005,The Odd Couple 05,Play,Brooks Atkinson Theatre
1997,The Old Neighborhood,Play,Booth Theatre
2012,The Other Place,Play,Friedman Theatre
2006,The Pajama Game,Musical,American Airlines Theatre
2010,The Pee-Wee Herman Show,Play,Stephen Sondheim Theatre
2011,The People In The Picture,Musical,Studio 54 Theatre
2012,The Performers,Play,Longacre Theatre
1996,The Phantom Of The Opera,Musical,Majestic Theatre
2009,The Philanthropist,Play,American Airlines Theatre
2005,The Pillowman,Play,Booth Theatre
2007,The Pirate Queen,Musical,Hilton Theatre Theatre
2010,The Pitmen Painters,Play,Friedman Theatre
2003,The Play What I Wrote,Play,Lyceum Theatre
1995,The Play'S The Thing,Play,Criterion Theatre
1999,The Price 99,Play,Royale Theatre
2001,The Producers,Musical,St. James Theatre
1999,The Rainmaker,Play,Brooks Atkinson Theatre
2013,The Rascals: Once Upon A Dream,Special,Richard Rodgers Theatre
2000,The Real Thing '00,Play,Ethel Barrymore Theatre
2014,The Real Thing 2014,Play,American Airlines Theatre
2014,The Realistic Joneses,Play,Lyceum Theatre
1996,The Rehearsal,Play,Criterion Theatre
2003,The Retreat From Moscow,Play,Booth Theatre
2000,The Ride Down Mt. Morgan,Play,Ambassador Theatre
2007,The Ritz,Play,Studio 54 Theatre
2004,The Rivals,Play,Vivian Beaumont Theatre
2014,The River,Play,Circle In The Square Theatre
2011,The Road To Mecca,Play,American Airlines Theatre
2000,The Rocky Horror Show,Musical,Circle In The Square Theatre
1995,The Rose Tattoo,Play,Circle In The Square Theatre
2009,The Royal Family,Play,Friedman Theatre
1997,The Scarlet Pimpernel,Musical,Minskoff Theatre
1999,The Scarlet Pimpernel,Musical,Neil Simon Theatre
2010,The Scottsboro Boys,Musical,Lyceum Theatre
2007,The Seafarer,Play,Booth Theatre
2008,The Seagull 08,Play,Walter Kerr Theatre
2000,The Search For Signs Of Intelligent Life In The Universe 00,Play,Booth Theatre
1994,The Shadow Box,Play,Circle In The Square Theatre
1993,The Sisters Rosensweig,Play,Ethel Barrymore Theatre
2002,The Smell Of The Kill,Play,Helen Hayes Theatre
2013,The Snow Geese,Play,Friedman Theatre
1998,The Sound Of Music,Musical,Martin Beck Theatre
2009,The Story Of My Life,Musical,Booth Theatre
1997,The Sunshine Boys,Play,Lyceum Theatre
2000,The Tale Of The Allergist'S Wife,Play,Ethel Barrymore Theatre
1995,The Tempest,Play,Broadhurst Theatre
2015,The Temptations And The Four Tops On Broadway,Special,Palace Theatre
2013,The Testament Of Mary,Play,Walter Kerr Theatre
2006,The Threepenny Opera,Musical,Studio 54 Theatre
2006,The Times They Are A-Changin',Musical,Brooks Atkinson Theatre
2013,The Trip To Bountiful,Play,Stephen Sondheim Theatre
2014,The Velocity Of Autumn,Play,Booth Theatre
2006,The Vertical Hour,Play,Music Box Theatre
2003,The Violet Hour,Play,Biltmore Theatre
2015,The Visit 2015,Musical,Lyceum Theatre
2006,The Wedding Singer,Musical,Al Hirschfeld Theatre
1999,The Weir,Play,Walter Kerr Theatre
2000,The Wild Party,Musical,Virginia Theatre
2013,The Winslow Boy,Play,American Airlines Theatre
2005,The Woman In White,Musical,Marquis Theatre
2001,The Women,Play,American Airlines Theatre
2007,The Year Of Magical Thinking,Play,Booth Theatre
1997,The Young Man From Atlanta,Play,Longacre Theatre
2015,ThÇräse Raquin,Play,Studio 54 Theatre
2014,This Is Our Youth,Play,Cort Theatre
2002,Thoroughly Modern Millie,Musical,Marquis Theatre
2001,Thou Shalt Not,Musical,Plymouth Theatre
2006,Three Days Of Rain,Play,Jacobs Theatre
1997,Three Sisters,Play,Criterion Theatre
2008,Thurgood,Play,Booth Theatre
2010,Time Stands Still,Play,Friedman Theatre
2010,Time Stands Still,Play,Cort Theatre
1997,Titanic,Musical,Lunt-Fontanne Theatre
2008,Title Of Show,Musical,Lyceum Theatre
2008,To Be Or Not To Be,Play,Friedman Theatre
1995,Tommy,Musical,St. James Theatre
2008,Top Girls,Play,Biltmore Theatre
2002,Topdog / Underdog,Play,Ambassador Theatre
2007,Translations 06,Play,Biltmore Theatre
1997,Triumph Of Love,Musical,Royale Theatre
1990,Tru,Play,Booth Theatre
2000,True West,Play,Circle In The Square Theatre
2016,Tuck Everlasting,Musical,Broadhurst Theatre
1998,Twelfth Night,Play,Vivian Beaumont Theatre
2013,Twelfth Night/Richard Iii,Play,Belasco Theatre
2004,Twelve Angry Men,Play,American Airlines Theatre
2004,Twentieth Century,Play,American Airlines Theatre
1995,Uncle Vanya,Play,Circle In The Square Theatre
2000,Uncle Vanya 00,Play,Brooks Atkinson Theatre
2003,Urban Cowboy,Musical,Broadhurst Theatre
2001,Urinetown,Musical,Henry Miller Theatre
2013,Vanya And Sonia And Masha And Spike,Play,Golden Theatre
2011,Venus In Fur,Play,Friedman Theatre
2012,Venus In Fur,Play,Lyceum Theatre
1999,Via Dolorosa,Play,Booth Theatre
1995,Victor/Victoria,Musical,Marquis Theatre
2003,Vincent In Brixton,Play,Golden Theatre
2014,Violet,Musical,American Airlines Theatre
1999,Voices In The Dark,Play,Longacre Theatre
1998,Wait Until Dark,Play,Brooks Atkinson Theatre
2009,Waiting For Godot,Play,Studio 54 Theatre
1999,Waiting In The Wings,Play,Walter Kerr Theatre
2000,Waiting In The Wings,Play,Eugene O'Neill Theatre
2016,Waitress,Musical,Brooks Atkinson Theatre
2011,War Horse,Play,Vivian Beaumont Theatre
2006,Well,Play,Longacre Theatre
2009,West Side Story,Musical,Palace Theatre
2004,Whoopi,Play,Lyceum Theatre
2005,Who'S Afraid Of Virginia Woolf?,Play,Longacre Theatre
2012,Who'S Afraid Of Virginia Woolf? '12,Play,Booth Theatre
2003,Wicked,Musical,Gershwin Theatre
2009,Wishful Drinking,Play,Studio 54 Theatre
2012,Wit,Play,Friedman Theatre
2015,Wolf Hall Parts One & Two,Play,Winter Garden Theatre
2010,Women On The Verge Of A Nervous Breakdown,Musical,Belasco Theatre
2003,Wonderful Town,Musical,Al Hirschfeld Theatre
2011,Wonderland,Musical,Marquis Theatre
2000,Wrong Mountain,Play,Eugene O'Neill Theatre
2007,Xanadu,Musical,Helen Hayes Theatre
2014,You Can'T Take It With You,Play,Longacre Theatre
2007,Young Frankenstein,Musical,Hilton Theatre Theatre
1999,"You'Re A Good Man, Charlie Brown",Musical,Ambassador Theatre
2009,You'Re Welcome America. A Final Night With George W. Bush,Special,Cort Theatre
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
