reviews
" 	My husband and son love South Park so this was the obvious show to see and it didn't disappoint. Hilarious from the outset"
" 	Please"
" 	""The Book of  was a bucket list show for our family. We had heard the music and definitely had an idea of what we were in for. As we were familiar with the story line and lyrics"
" 	Tickets were a bit pricey at $ each"
" 	No luck at the lottery"
" 	""The BEST musical I've seen on Bway! It was non-stop laughter from start to finish! it was terrific....however"
" 	My friend booked us tickets so I didn't really know what to expect. It was hilarious right from the beginning. The actors are perfectly cast and there will be moments where you wish you could pause and rewind as there is so much going on that you want to watch it again to make sure you didn't miss anything. Funny"
" 	Be careful who you take to this side splitting hysterical play. Not everyone can enjoy this type of bawdy"
" 	Genuinely a really funny show. Not one to take anyone who you think might be offended by the material or the very young. It's really South Park on stage. All criticism is for the theatre. The legroom is the worst I have ever experienced and I'm not over six foot. Drinks were really expensive even considering the location. It was worth it for a really funny show.			The Book of 	Would be five dots but the theatre really brings it down	Craig M	--	"
" 	I really enjoyed Book of ! I love how the theater was small"
" 	This show is not for everyone. Children and people who are easily offended"
" 	This is by far the funniest musical I have ever seen- one enormous laugh after another. The content can be inappropriate for younger kids			The Book of 	Funniest Musical I have ever seen	PaddleWarrior	--	"
" 	This is by far the best musical/show we have ever seen! Laughed from start to finish and were wowed by the songs and the talented singers in the cast. The Eugene O'neill theatre is a great little theatre too. It might offend some but mostly very clever humour. If you can only see one thing on Broadway"
" 	My wife got tickets for the show based on reviews she read and from a recommendation from an acquaintinance she knows. I was going into an event dragging and kic. It turned out to be quite an enjoyable and comedic evening. The actors were all very talented and good at their craft. The storyline was sharp and engaging. If you enjoy comedy"
" 	As long as you're prepared for and are ok with a bit of colourful language then this is one of the best musicals you're ever likely to see. You'll be amazed that they didn't actually have to make up the basic story behind the Book of . The South Park style is obvious from the start. 			The Book of 	One of the best	sley V	--	"
" 	We went into The Book of  without knowing any details about the show and we were pleasantly surprised! This is definitely not a family friendly show"
" 	Couldn't stop laughing from beginning to end. If you are loo to see something cool in Broadway while you are visitng NYC this is your play!			The Book of 	Best option to have a good laugh in Broadway while visiting NYC!	Daniel B	--	"
" 	Hilariously funny and irreverent. The cast was superb and the production first class. You do need to be broad minded and not easily offended"
" 	The majority of the play was very funny. Great songs and an overall hilarious show. However"
" 	Wow! Amazing! Must see for all religions"
" 	We absolutely love our Book of  Experience! The cast were incredible and executed the well-written show flawsly! Highly recommend this show for people who enjoy a light-hearted show!			The Book of 	Amazing show!	Ashley H	--	"
" 	""We arrived at : to sign up for the lottery drawing of available seats ($) AND get in line for standing room only tickets ($). The drawing was at noon for the pm show. The day we went"
" 	It is one of the best musicals I have seen. Not appropriate for kids. Very funny"
