Date.Year,Show.Name,Show.New.Name,Show.Theatre,Show.No,Show.Type
2000,The Real Thing '00,The Real Thing ,Ethel Barrymore,29,Play
2014,The Real Thing 2014,The Real Thing,American Airlines,47,Play
2014,The Realistic Joneses,The Realistic Joneses,Lyceum,34,Play
2003,The Retreat From Moscow,The Retreat From Moscow,Booth,36,Play
2004,The Rivals,The Rivals,Vivian Beaumont,32,Play
2011,The Road To Mecca,The Road To Mecca,American Airlines,47,Play
2010,The Scottsboro Boys,The Scottsboro Boys,Lyceum,34,Musical
2007,The Seafarer,The Seafarer,Booth,36,Play
2000,The Search For Signs Of Intelligent Life In The Universe 00,The Search For Signs Of Intelligent Life In The Universe 00,Booth,36,Play
1993,The Sisters Rosensweig,The Sisters Rosensweig,Ethel Barrymore,29,Play
2009,The Story Of My Life,The Story Of My Life,Booth,36,Musical
1997,The Sunshine Boys,The Sunshine Boys,Lyceum,34,Play
2000,The Tale Of The Allergist'S Wife,The Tale Of The Allergist'S Wife,Ethel Barrymore,29,Play
2006,The Times They Are A-Changin',The Times They Are A-Changin',Brooks Atkinson,32,Musical
2014,The Velocity Of Autumn,The Velocity Of Autumn,Booth,36,Play
2006,The Vertical Hour,The Vertical Hour,Music Box,30,Play
2015,The Visit 2015,The Visit,Lyceum,34,Musical
2013,The Winslow Boy,The Winslow Boy,American Airlines,47,Play
2001,The Women,The Women,American Airlines,47,Play
2007,The Year Of Magical Thinking,The Year Of Magical Thinking,Booth,36,Play
2014,This Is Our Youth,This Is Our Youth,Cort,34,Play
2008,Thurgood,Thurgood,Booth,36,Play
2010,Time Stands Still,Time Stands Still,Cort,34,Play
2008,Title Of Show,Title Of Show,Lyceum,34,Musical
1990,Tru,Tru,Booth,36,Play
1998,Twelfth Night,Twelfth Night,Vivian Beaumont,32,Play
2013,Twelfth Night/Richard Iii,Twelfth Night/Richard Iii,Belasco,29,Play
2004,Twelve Angry Men,Twelve Angry Men,American Airlines,47,Play
2004,Twentieth Century,Twentieth Century,American Airlines,47,Play
2000,Uncle Vanya 00,Uncle Vanya,Brooks Atkinson,32,Play
